vial,day,adults
w118_R2_0.0,8,
w118_R2_0.0,9,9
w118_R2_0.0,10,8
w118_R2_0.0,11,
w118_R2_0.0,12,
w118_R2_0.0,13,1
w118_R2_0.0,14,1
w118_R2_0.5,5,
w118_R2_0.5,6,
w118_R2_0.5,7,
w118_R2_0.5,8,
w118_R2_0.5,9,9
w118_R2_0.5,10,6
w118_R2_0.5,11,
w118_R2_0.5,12,1
w118_R2_0.5,13,
w118_R2_0.5,14,
w118_R2_1.25,5,
w118_R2_1.25,6,
w118_R2_1.25,7,
w118_R2_1.25,8,1
w118_R2_1.25,9,4
w118_R2_1.25,10,4
w118_R2_1.25,11,1
w118_R2_1.25,12,1
w118_R2_1.25,13,3
w118_R2_1.25,14,
w118_R2_1.5,5,
w118_R2_1.5,6,
w118_R2_1.5,7,
w118_R2_1.5,8,2
w118_R2_1.5,9,4
w118_R2_1.5,10,2
w118_R2_1.5,11,
w118_R2_1.5,12,1
w118_R2_1.5,13,2
w118_R2_1.5,14,
w118_R2_1.75,5,
w118_R2_1.75,6,
w118_R2_1.75,7,
w118_R2_1.75,8,1
w118_R2_1.75,9,2
w118_R2_1.75,10,3
w118_R2_1.75,11,
w118_R2_1.75,12,1
w118_R2_1.75,13,
w118_R2_1.75,14,
w118_R2_2.25,5,
w118_R2_2.25,6,
w118_R2_2.25,7,
w118_R2_2.25,8,
w118_R2_2.25,9,2
w118_R2_2.25,10,3
w118_R2_2.25,11,
w118_R2_2.25,12,1
w118_R2_2.25,13,
w118_R2_2.25,14,
w118_R2_2.5,5,
w118_R2_2.5,6,
w118_R2_2.5,7,
w118_R2_2.5,8,
w118_R2_2.5,9,1
w118_R2_2.5,10,1
w118_R2_2.5,11,
w118_R2_2.5,12,
w118_R2_2.5,13,
w118_R2_2.5,14,
w118_R2_3,5,
w118_R2_3,6,
w118_R2_3,7,
w118_R2_3,8,
w118_R2_3,9,3
w118_R2_3,10,
w118_R2_3,11,
w118_R2_3,12,
w118_R2_3,13,
w118_R2_3,14,
w118_R2_4,5,
w118_R2_4,6,
w118_R2_4,7,
w118_R2_4,8,
w118_R2_4,9,2
w118_R2_4,10,
w118_R2_4,11,
w118_R2_4,12,
w118_R2_4,13,
w118_R2_4,14,
w118_R2_5,5,
w118_R2_5,6,
w118_R2_5,7,
w118_R2_5,8,
w118_R2_5,9,
w118_R2_5,10,
w118_R2_5,11,
w118_R2_5,12,
w118_R2_5,13,
w118_R2_5,14,
w118_R3_0.0,5,
w118_R3_0.0,6,
w118_R3_0.0,7,
w118_R3_0.0,8,1
w118_R3_0.0,9,4
w118_R3_0.0,10,7
w118_R3_0.0,11,1
w118_R3_0.0,12,1
w118_R3_0.0,13,
w118_R3_0.0,14,
w118_R3_0.5,5,
w118_R3_0.5,6,
w118_R3_0.5,7,
w118_R3_0.5,8,
w118_R3_0.5,9,9
w118_R3_0.5,10,1
w118_R3_0.5,11,3
w118_R3_0.5,12,1
w118_R3_0.5,13,1
w118_R3_0.5,14,
w118_R3_1.25,5,
w118_R3_1.25,6,
w118_R3_1.25,7,
w118_R3_1.25,8,
w118_R3_1.25,9,4
w118_R3_1.25,10,6
w118_R3_1.25,11,
w118_R3_1.25,12,1
w118_R3_1.25,13,1
w118_R3_1.25,14,
w118_R3_1.5,5,
w118_R3_1.5,6,
w118_R3_1.5,7,
w118_R3_1.5,8,
w118_R3_1.5,9,2
w118_R3_1.5,10,5
w118_R3_1.5,11,2
w118_R3_1.5,12,2
w118_R3_1.5,13,1
w118_R3_1.5,14,1
w118_R3_1.75,5,
w118_R3_1.75,6,
w118_R3_1.75,7,
w118_R3_1.75,8,1
w118_R3_1.75,9,3
w118_R3_1.75,10,2
w118_R3_1.75,11,
w118_R3_1.75,12,1
w118_R3_1.75,13,
w118_R3_1.75,14,1
w118_R3_2.25,5,
w118_R3_2.25,6,
w118_R3_2.25,7,
w118_R3_2.25,8,
w118_R3_2.25,9,7
w118_R3_2.25,10,3
w118_R3_2.25,11,
w118_R3_2.25,12,1
w118_R3_2.25,13,
w118_R3_2.25,14,
w118_R3_2.5,5,
w118_R3_2.5,6,
w118_R3_2.5,7,
w118_R3_2.5,8,
w118_R3_2.5,9,2
w118_R3_2.5,10,3
w118_R3_2.5,11,1
w118_R3_2.5,12,
w118_R3_2.5,13,
w118_R3_2.5,14,
w118_R3_3,5,
w118_R3_3,6,
w118_R3_3,7,
w118_R3_3,8,
w118_R3_3,9,2
w118_R3_3,10,
w118_R3_3,11,
w118_R3_3,12,
w118_R3_3,13,
w118_R3_3,14,
w118_R3_4,5,
w118_R3_4,6,
w118_R3_4,7,
w118_R3_4,8,
w118_R3_4,9,
w118_R3_4,10,
w118_R3_4,11,
w118_R3_4,12,
w118_R3_4,13,
w118_R3_4,14,
w118_R3_5,5,
w118_R3_5,6,
w118_R3_5,7,
w118_R3_5,8,
w118_R3_5,9,
w118_R3_5,10,
w118_R3_5,11,
w118_R3_5,12,
w118_R3_5,13,
w118_R3_5,14,
w118_R4_0.0,5,
w118_R4_0.0,6,
w118_R4_0.0,7,
w118_R4_0.0,8,
w118_R4_0.0,9,8
w118_R4_0.0,10,4
w118_R4_0.0,11,3
w118_R4_0.0,12,3
w118_R4_0.0,13,
w118_R4_0.0,14,
w118_R4_0.5,5,
w118_R4_0.5,6,
w118_R4_0.5,7,
w118_R4_0.5,8,1
w118_R4_0.5,9,5
w118_R4_0.5,10,5
w118_R4_0.5,11,4
w118_R4_0.5,12,3
w118_R4_0.5,13,1
w118_R4_0.5,14,
w118_R4_1.25,5,
w118_R4_1.25,6,
w118_R4_1.25,7,
w118_R4_1.25,8,
w118_R4_1.25,9,5
w118_R4_1.25,10,4
w118_R4_1.25,11,1
w118_R4_1.25,12,2
w118_R4_1.25,13,2
w118_R4_1.25,14,
w118_R4_1.5,5,
w118_R4_1.5,6,
w118_R4_1.5,7,
w118_R4_1.5,8,1
w118_R4_1.5,9,3
w118_R4_1.5,10,2
w118_R4_1.5,11,
w118_R4_1.5,12,1
w118_R4_1.5,13,
w118_R4_1.5,14,2
w118_R4_1.75,5,
w118_R4_1.75,6,
w118_R4_1.75,7,
w118_R4_1.75,8,
w118_R4_1.75,9,3
w118_R4_1.75,10,1
w118_R4_1.75,11,
w118_R4_1.75,12,
w118_R4_1.75,13,
w118_R4_1.75,14,
w118_R4_2.25,5,
w118_R4_2.25,6,
w118_R4_2.25,7,
w118_R4_2.25,8,
w118_R4_2.25,9,
w118_R4_2.25,10,
w118_R4_2.25,11,1
w118_R4_2.25,12,
w118_R4_2.25,13,
w118_R4_2.25,14,
w118_R4_2.5,5,
w118_R4_2.5,6,
w118_R4_2.5,7,
w118_R4_2.5,8,
w118_R4_2.5,9,1
w118_R4_2.5,10,2
w118_R4_2.5,11,
w118_R4_2.5,12,
w118_R4_2.5,13,
w118_R4_2.5,14,
w118_R4_3,5,
w118_R4_3,6,
w118_R4_3,7,
w118_R4_3,8,
w118_R4_3,9,1
w118_R4_3,10,1
w118_R4_3,11,
w118_R4_3,12,
w118_R4_3,13,
w118_R4_3,14,
w118_R4_4,5,
w118_R4_4,6,
w118_R4_4,7,
w118_R4_4,8,
w118_R4_4,9,
w118_R4_4,10,
w118_R4_4,11,
w118_R4_4,12,
w118_R4_4,13,
w118_R4_4,14,
w118_R4_5,5,
w118_R4_5,6,
w118_R4_5,7,
w118_R4_5,8,
w118_R4_5,9,
w118_R4_5,10,
w118_R4_5,11,
w118_R4_5,12,
w118_R4_5,13,
w118_R4_5,14,
w118_R5_0.0,5,
w118_R5_0.0,6,
w118_R5_0.0,7,
w118_R5_0.0,8,
w118_R5_0.0,9,1
w118_R5_0.0,10,8
w118_R5_0.0,11,5
w118_R5_0.0,12,
w118_R5_0.0,13,
w118_R5_0.0,14,
w118_R5_0.5,5,
w118_R5_0.5,6,
w118_R5_0.5,7,
w118_R5_0.5,8,
w118_R5_0.5,9,2
w118_R5_0.5,10,8
w118_R5_0.5,11,2
w118_R5_0.5,12,2
w118_R5_0.5,13,
w118_R5_0.5,14,2
w118_R5_1.25,5,
w118_R5_1.25,6,
w118_R5_1.25,7,
w118_R5_1.25,8,
w118_R5_1.25,9,3
w118_R5_1.25,10,7
w118_R5_1.25,11,1
w118_R5_1.25,12,2
w118_R5_1.25,13,
w118_R5_1.25,14,
w118_R5_1.5,5,
w118_R5_1.5,6,
w118_R5_1.5,7,
w118_R5_1.5,8,
w118_R5_1.5,9,
w118_R5_1.5,10,3
w118_R5_1.5,11,1
w118_R5_1.5,12,1
w118_R5_1.5,13,
w118_R5_1.5,14,1
w118_R5_1.75,5,
w118_R5_1.75,6,
w118_R5_1.75,7,
w118_R5_1.75,8,
w118_R5_1.75,9,
w118_R5_1.75,10,2
w118_R5_1.75,11,1
w118_R5_1.75,12,
w118_R5_1.75,13,
w118_R5_1.75,14,
w118_R5_2.25,5,
w118_R5_2.25,6,
w118_R5_2.25,7,
w118_R5_2.25,8,
w118_R5_2.25,9,1
w118_R5_2.25,10,1
w118_R5_2.25,11,
w118_R5_2.25,12,
w118_R5_2.25,13,
w118_R5_2.25,14,
w118_R5_2.5,5,
w118_R5_2.5,6,
w118_R5_2.5,7,
w118_R5_2.5,8,
w118_R5_2.5,9,1
w118_R5_2.5,10,
w118_R5_2.5,11,1
w118_R5_2.5,12,
w118_R5_2.5,13,
w118_R5_2.5,14,
w118_R5_3,5,
w118_R5_3,6,
w118_R5_3,7,
w118_R5_3,8,
w118_R5_3,9,
w118_R5_3,10,
w118_R5_3,11,
w118_R5_3,12,
w118_R5_3,13,
w118_R5_3,14,
w118_R5_4,5,
w118_R5_4,6,
w118_R5_4,7,
w118_R5_4,8,
w118_R5_4,9,1
w118_R5_4,10,
w118_R5_4,11,
w118_R5_4,12,
w118_R5_4,13,
w118_R5_4,14,
w118_R5_5,5,
w118_R5_5,6,
w118_R5_5,7,
w118_R5_5,8,
w118_R5_5,9,
w118_R5_5,10,
w118_R5_5,11,
w118_R5_5,12,
w118_R5_5,13,
w118_R5_5,14,
w118_R6_0.0,5,
w118_R6_0.0,6,
w118_R6_0.0,7,
w118_R6_0.0,8,
w118_R6_0.0,9,5
w118_R6_0.0,10,2
w118_R6_0.0,11,5
w118_R6_0.0,12,2
w118_R6_0.0,13,1
w118_R6_0.0,14,
w118_R6_0.5,5,
w118_R6_0.5,6,
w118_R6_0.5,7,
w118_R6_0.5,8,
w118_R6_0.5,9,
w118_R6_0.5,10,6
w118_R6_0.5,11,2
w118_R6_0.5,12,3
w118_R6_0.5,13,1
w118_R6_0.5,14,
w118_R6_1.25,5,
w118_R6_1.25,6,
w118_R6_1.25,7,
w118_R6_1.25,8,
w118_R6_1.25,9,2
w118_R6_1.25,10,3
w118_R6_1.25,11,2
w118_R6_1.25,12,3
w118_R6_1.25,13,
w118_R6_1.25,14,
w118_R6_1.5,5,
w118_R6_1.5,6,
w118_R6_1.5,7,
w118_R6_1.5,8,
w118_R6_1.5,9,1
w118_R6_1.5,10,3
w118_R6_1.5,11,1
w118_R6_1.5,12,1
w118_R6_1.5,13,
w118_R6_1.5,14,
w118_R6_1.75,5,
w118_R6_1.75,6,
w118_R6_1.75,7,
w118_R6_1.75,8,
w118_R6_1.75,9,1
w118_R6_1.75,10,2
w118_R6_1.75,11,
w118_R6_1.75,12,
w118_R6_1.75,13,
w118_R6_1.75,14,
w118_R6_2.25,5,
w118_R6_2.25,6,
w118_R6_2.25,7,
w118_R6_2.25,8,
w118_R6_2.25,9,
w118_R6_2.25,10,
w118_R6_2.25,11,2
w118_R6_2.25,12,
w118_R6_2.25,13,1
w118_R6_2.25,14,
w118_R6_2.5,5,
w118_R6_2.5,6,
w118_R6_2.5,7,
w118_R6_2.5,8,
w118_R6_2.5,9,
w118_R6_2.5,10,1
w118_R6_2.5,11,
w118_R6_2.5,12,1
w118_R6_2.5,13,
w118_R6_2.5,14,
w118_R6_3,5,
w118_R6_3,6,
w118_R6_3,7,
w118_R6_3,8,
w118_R6_3,9,
w118_R6_3,10,
w118_R6_3,11,
w118_R6_3,12,
w118_R6_3,13,
w118_R6_3,14,
w118_R6_4,5,
w118_R6_4,6,
w118_R6_4,7,
w118_R6_4,8,
w118_R6_4,9,
w118_R6_4,10,
w118_R6_4,11,
w118_R6_4,12,
w118_R6_4,13,
w118_R6_4,14,
w118_R6_5,5,
w118_R6_5,6,
w118_R6_5,7,
w118_R6_5,8,
w118_R6_5,9,
w118_R6_5,10,
w118_R6_5,11,
w118_R6_5,12,
w118_R6_5,13,
w118_R6_5,14,
