vial,day,adults
A4_R4_3,5,
A4_R4_3,6,
A4_R4_3,7,
A4_R4_3,8,
A4_R4_3,9,1
A4_R4_3,10,1
A4_R4_3,11,
A4_R4_3,12,
A4_R4_3,13,
A4_R4_3,14,
A4_R4_4,5,
A4_R4_4,6,
A4_R4_4,7,
A4_R4_4,8,
A4_R4_4,9,
A4_R4_4,10,
A4_R4_4,11,1
A4_R4_4,12,
A4_R4_4,13,
A4_R4_4,14,
A4_R4_5,5,
A4_R4_5,6,
A4_R4_5,7,
A4_R4_5,8,
A4_R4_5,9,
A4_R4_5,10,
A4_R4_5,11,
A4_R4_5,12,
A4_R4_5,13,
A4_R4_5,14,
A4_R5_0.0,5,
A4_R5_0.0,6,
A4_R5_0.0,7,
A4_R5_0.0,8,1
A4_R5_0.0,9,2
A4_R5_0.0,10,4
A4_R5_0.0,11,
A4_R5_0.0,12,
A4_R5_0.0,13,1
A4_R5_0.0,14,
A4_R5_0.5,5,
A4_R5_0.5,6,
A4_R5_0.5,7,
A4_R5_0.5,8,1
A4_R5_0.5,9,5
A4_R5_0.5,10,2
A4_R5_0.5,11,
A4_R5_0.5,12,1
A4_R5_0.5,13,1
A4_R5_0.5,14,
A4_R5_1.25,5,
A4_R5_1.25,6,
A4_R5_1.25,7,
A4_R5_1.25,8,1
A4_R5_1.25,9,3
A4_R5_1.25,10,3
A4_R5_1.25,11,
A4_R5_1.25,12,
A4_R5_1.25,13,
A4_R5_1.25,14,
A4_R5_1.5,5,
A4_R5_1.5,6,
A4_R5_1.5,7,
A4_R5_1.5,8,
A4_R5_1.5,9,2
A4_R5_1.5,10,5
A4_R5_1.5,11,2
A4_R5_1.5,12,
A4_R5_1.5,13,
A4_R5_1.5,14,
A4_R5_1.75,5,
A4_R5_1.75,6,
A4_R5_1.75,7,
A4_R5_1.75,8,
A4_R5_1.75,9,4
A4_R5_1.75,10,1
A4_R5_1.75,11,1
A4_R5_1.75,12,
A4_R5_1.75,13,
A4_R5_1.75,14,
A4_R5_2.25,5,
A4_R5_2.25,6,
A4_R5_2.25,7,
A4_R5_2.25,8,
A4_R5_2.25,9,3
A4_R5_2.25,10,
A4_R5_2.25,11,
A4_R5_2.25,12,
A4_R5_2.25,13,
A4_R5_2.25,14,
A4_R5_2.5,5,
A4_R5_2.5,6,
A4_R5_2.5,7,
A4_R5_2.5,8,1
A4_R5_2.5,9,
A4_R5_2.5,10,3
A4_R5_2.5,11,
A4_R5_2.5,12,1
A4_R5_2.5,13,
A4_R5_2.5,14,
A4_R5_3,5,
A4_R5_3,6,
A4_R5_3,7,
A4_R5_3,8,1
A4_R5_3,9,1
A4_R5_3,10,1
A4_R5_3,11,1
A4_R5_3,12,
A4_R5_3,13,
A4_R5_3,14,
A4_R5_4,5,
A4_R5_4,6,
A4_R5_4,7,
A4_R5_4,8,1
A4_R5_4,9,
A4_R5_4,10,2
A4_R5_4,11,
A4_R5_4,12,1
A4_R5_4,13,1
A4_R5_4,14,
A4_R5_5,5,
A4_R5_5,6,
A4_R5_5,7,
A4_R5_5,8,1
A4_R5_5,9,4
A4_R5_5,10,
A4_R5_5,11,
A4_R5_5,12,1
A4_R5_5,13,
A4_R5_5,14,
A4_R6_0.0,5,
A4_R6_0.0,6,
A4_R6_0.0,7,
A4_R6_0.0,8,2
A4_R6_0.0,9,3
A4_R6_0.0,10,4
A4_R6_0.0,11,1
A4_R6_0.0,12,1
A4_R6_0.0,13,
A4_R6_0.0,14,
A4_R6_0.5,5,
A4_R6_0.5,6,
A4_R6_0.5,7,
A4_R6_0.5,8,
A4_R6_0.5,9,3
A4_R6_0.5,10,4
A4_R6_0.5,11,2
A4_R6_0.5,12,1
A4_R6_0.5,13,1
A4_R6_0.5,14,
A4_R6_1.25,5,
A4_R6_1.25,6,
A4_R6_1.25,7,
A4_R6_1.25,8,2
A4_R6_1.25,9,2
A4_R6_1.25,10,2
A4_R6_1.25,11,1
A4_R6_1.25,12,
A4_R6_1.25,13,
A4_R6_1.25,14,
A4_R6_1.5,5,
A4_R6_1.5,6,
A4_R6_1.5,7,
A4_R6_1.5,8,
A4_R6_1.5,9,4
A4_R6_1.5,10,
A4_R6_1.5,11,
A4_R6_1.5,12,1
A4_R6_1.5,13,
A4_R6_1.5,14,2
A4_R6_1.75,5,
A4_R6_1.75,6,
A4_R6_1.75,7,
A4_R6_1.75,8,
A4_R6_1.75,9,1
A4_R6_1.75,10,
A4_R6_1.75,11,
A4_R6_1.75,12,1
A4_R6_1.75,13,1
A4_R6_1.75,14,
A4_R6_2.25,5,
A4_R6_2.25,6,
A4_R6_2.25,7,
A4_R6_2.25,8,1
A4_R6_2.25,9,4
A4_R6_2.25,10,2
A4_R6_2.25,11,
A4_R6_2.25,12,
A4_R6_2.25,13,
A4_R6_2.25,14,
A4_R6_2.5,5,
A4_R6_2.5,6,
A4_R6_2.5,7,
A4_R6_2.5,8,
A4_R6_2.5,9,2
A4_R6_2.5,10,
A4_R6_2.5,11,
A4_R6_2.5,12,
A4_R6_2.5,13,
A4_R6_2.5,14,
A4_R6_3,5,
A4_R6_3,6,
A4_R6_3,7,
A4_R6_3,8,
A4_R6_3,9,
A4_R6_3,10,3
A4_R6_3,11,
A4_R6_3,12,
A4_R6_3,13,
A4_R6_3,14,
A4_R6_4,5,
A4_R6_4,6,
A4_R6_4,7,
A4_R6_4,8,
A4_R6_4,9,1
A4_R6_4,10,2
A4_R6_4,11,
A4_R6_4,12,1
A4_R6_4,13,1
A4_R6_4,14,
A4_R6_5,5,
A4_R6_5,6,
A4_R6_5,7,
A4_R6_5,8,
A4_R6_5,9,2
A4_R6_5,10,1
A4_R6_5,11,
A4_R6_5,12,
A4_R6_5,13,
A4_R6_5,14,
A3_R1_0.0,5,
A3_R1_0.0,6,
